userId,1,2,6,10,32,34,39,47,50,110,111,150,153,161,165,185,208,223,231,253,260,292,293,296,316,318,329,344,349,356,357,364,367,377,380,434,454,457,480,500,527,539,541,586,587,588,589,590,592,593,595,597,608,648,733,736,778,780,858,924,1036,1073,1089,1097,1136,1193,1196,1197,1198,1200,1206,1208,1210,1213,1214,1221,1222,1240,1258,1265,1270,1291,1527,1580,1682,1704,1721,1732,1923,1968,2028,2115,2329,2571,2628,2683,2706,2716,2762,2858,2918,2959,3147,3578,3793,3996,4226,4306,4878,4886,4896,4963,4973,4993,4995,5349,5418,5445,5816,5952,5989,6377,6539,6874,7153,7361,7438,8961,33794,48516,58559,60069,68954,79132
1,4,0,4,0,0,0,0,5,5,4,0,0,0,0,0,0,0,3,5,0,5,0,0,3,3,0,0,0,4,4,0,0,4,0,0,0,0,5,4,3,5,0,0,0,0,0,0,4,4,4,0,0,5,3,4,3,0,3,0,0,0,5,5,5,5,0,5,5,5,0,5,4,5,5,4,0,5,5,3,4,5,5,0,3,0,0,0,5,0,0,4,5,5,5,4,0,0,5,0,5,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4,0,0,4
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,1,0,0,0,4,0,0,0,5,3,0,5,3,0,0,0,0,0,0,0,4,0,0,5,0,5,5,3,0,0,0,0,4,0,0,0,0,0,4,0,4,0,3,0,1,0,4,3,4,0,0,0,1,1,4,0,0,4,5,0,2,0,0,0,4,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,0,0,0,0,4,3,0,4,4,0,3,3,0,0,0,0,0,0,3,0,0,0,5,2,3,0,3,3,0,2,3,4,0,2,0,0,4,0,0,5,0,0,0,0,4,3,5,3,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,4,4,3,4,4,0,4,1,5,0,4,3,3,3,3,3,0,3,3,0,4,3,2,5,5,4,3,5,5,3,5,4,5,4,4,4,5,5,5,3,3,0,0,5,5,3,5,3,4,5,4,3,0,0,5,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,5,0,0,0,0,0,2,3,2,0,3,5,3,0,0,4,0,0,0,4,0,4,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,5,0,0,5,0,0,0,3,0,0,0,1,0,0,0,0,0,1,2,0,0,4,4,0,0,0,1,3,0,0,4,0,4,4,4,0,4,4,3,0,4,4,4,4,0,4,0,4,0,0,4,2,1,0,0,0,0
8,0,4,0,2,3,5,3,4,5,3,0,4,2,0,0,5,3,0,4,5,0,3,0,4,0,5,0,0,0,3,5,5,3,4,5,0,4,3,4,2,5,3,0,3,3,0,0,5,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,4,0,0,0,0,0,4,4,0,0,0,0,4,0,3,0,0,4,0,0,2,5,0,4,0,4,0
11,0,0,5,3,0,0,0,0,0,5,0,5,3,0,3,0,3,0,0,0,0,4,0,0,0,4,0,0,5,5,0,0,0,3,4,3,0,5,4,0,0,0,0,0,0,0,4,0,0,5,0,0,0,4,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,4,0,3,5,0,5,0,4,2,0,0,0,0,0,3,0,0,0,0,3,0,3,0,2,0,4,0,0,1,3,0,4,0,0,3,0,3,4,0,3,0,0,0,4,2,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,4,0,5,0,0,0,5,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,5,0,4,5,0,0,5,0,5,0,0,4,0,3,5,0,3,0,0,0,0,0,0,0,3,0,4,4,0,0,0,0,3,4,0,2,5,5,0,0,1,3,0,3,0,0,0,3,5,0,0,4,0,3,5,3,0,3,0,0,3,2,0,0,2,3,3,3
16,0,0,0,0,0,0,0,3,4,0,4,0,0,0,0,0,0,0,0,0,3,0,4,3,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,2,0,0,0,4,0,4,4,3,4,3,0,0,4,0,3,4,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,3,0,0,0,0,4,0,3,0,0,0,4,3,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,4,4,4,3
17,4,0,0,0,0,0,0,4,4,4,4,3,0,0,0,0,0,0,0,0,5,0,3,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,4,0,4,0,3,0,0,0,4,4,4,4,0,0,0,0,0,0,0,4,5,0,4,0,4,0,0,4,5,3,4,0,5,0,5,4,0,4,4,5,4,0,4,4,0,0,0,0,0,5,0,0,4,0,4,5,0,0,0,0,4,4,0,4,4,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,4,0,0,0,4,4,4,3,0,4
18,3,3,4,0,4,2,0,4,5,4,4,0,0,0,4,0,3,4,2,0,4,0,4,4,0,5,4,2,0,4,0,3,2,2,2,0,0,3,3,3,4,0,4,3,0,3,4,4,0,4,3,0,4,3,0,0,4,4,4,4,4,0,4,0,4,4,4,0,4,0,4,3,4,4,4,5,4,4,0,0,4,4,3,3,3,4,4,4,0,0,4,4,4,4,0,2,3,0,4,0,3,4,4,4,4,0,4,4,0,4,3,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,3,3,4,4,4,0,4,4
19,4,3,0,2,4,4,0,3,0,0,0,0,2,2,3,2,2,3,2,3,4,0,4,0,2,0,2,2,0,2,4,3,4,4,3,3,0,4,2,2,0,3,4,3,3,3,5,0,5,0,0,3,0,3,3,2,0,0,0,3,0,4,3,5,3,4,4,5,5,3,0,0,3,0,4,0,0,4,2,4,4,5,5,2,0,0,0,3,4,2,0,3,0,4,3,3,3,4,4,4,5,5,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,5,0,4,4,0,0,5,5,3,3,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
21,3,3,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,3,3,0,0,0,0,0,4,0,4,3,0,0,0,0,0,4,2,0,0,3,2,0,4,3,0,3,0,0,4,0,4,3,0,0,3,2,0,3,0,0,0,0,0,4,0,4,2,0,0,4,0,1,2,0,3,0,3,5,4,2,4,0,3,3,0,0,0,0,4,0,4,4,2,5,3,0,2,0,2,0,2,3,0,0,4,0,3,4,4,3,1,0,3,4,4,4,2,3,0,4,1,1,0,1,3,3,0,3,0,4,3
